Word,RelativeFreq,SocialistFreq,CorpusFreq
seon,82.537773,0.050363,0.000610
hgin,67.215819,0.034204,0.000509
aleksk,31.449522,0.020656,0.000657
niinpaljon,23.878752,0.016371,0.000686
sirkusk,20.949632,0.081498,0.003890
tälläkertaa,20.699487,0.011081,0.000535
vaski,19.939264,0.014887,0.000747
pelti,19.901252,0.039672,0.001993
uudenmk,19.728455,0.010936,0.000554
canthink,18.479355,0.013871,0.000751
janiin,17.911615,0.010166,0.000568
senjohdosta,17.908837,0.011093,0.000619
puoliv,17.875290,0.024160,0.001352
bulevardin,17.698391,0.024808,0.001402
tamän,17.627560,0.009620,0.000546
lauantainumeroa,16.664570,0.008336,0.000500
pysyvistä,16.290739,0.036882,0.002264
jokapäivä,16.277338,0.015367,0.000944
tilaussetelin,16.180630,0.010646,0.000658
herättäjiä,15.756980,0.011628,0.000738
alppik,15.370645,0.008928,0.000581
sirkuskatu,15.355363,0.053097,0.003458
hagnäisten,14.984918,0.008169,0.000545
hallikatu,14.584871,0.016204,0.001111
kokov,14.555843,0.015065,0.001035
imukkeen,14.535559,0.009865,0.000679
itäsuomen,14.078319,0.008258,0.000587
liittoh,13.947042,0.009586,0.000687
rahastonh,13.395596,0.034985,0.002612
tähänasti,13.065258,0.015155,0.001160
hautausapurengas,12.984625,0.011182,0.000861
simonk,12.948174,0.012030,0.000929
kihla,12.944896,0.041781,0.003228
eedvard,12.565484,0.007689,0.000612
sosialidemokraatin,12.530694,0.017889,0.001428
vyök,12.469920,0.010825,0.000868
toimittajain,12.378268,0.009363,0.000756
kuolinilmoitukset,12.310519,0.018134,0.001473
kunnallistoimikunnan,11.902168,0.008448,0.000710
viipurilaista,11.724984,0.070160,0.005984
kastrenink,11.631736,0.007399,0.000636
myhrberg,11.613155,0.008370,0.000721
mita,11.491232,0.007667,0.000667
yrjönkadun,11.367962,0.010869,0.000956
perämiehenk,11.313513,0.012934,0.001143
nuortamiestä,11.086555,0.020288,0.001830
arkipäivän,10.795467,0.012677,0.001174
pormariston,10.771465,0.009977,0.000926
kokoontumis,10.751418,0.009977,0.000928
syntymä,10.682279,0.033624,0.003148
kullattuja,10.618817,0.007745,0.000729
uomen,10.555650,0.018369,0.001740
jousi,10.414873,0.018357,0.001763
simonkatu,10.414790,0.016427,0.001577
hautausapurenkaan,10.413753,0.017175,0.001649
työläisillä,10.396439,0.009073,0.000873
sent,10.155459,0.028066,0.002764
porroarit,10.090126,0.015032,0.001490
hienosta,9.970774,0.088964,0.008922
porwaristo,9.827296,0.008582,0.000873
siltasaarenkatu,9.798093,0.040621,0.004146
muurareille,9.706020,0.008392,0.000865
linja,9.694023,0.237810,0.024532
työläisistä,9.659150,0.007934,0.000821
porwariston,9.612642,0.007332,0.000763
porroarien,9.572015,0.010144,0.001060
lesche,9.505706,0.010189,0.001072
punavuorenk,9.425124,0.010401,0.001104
puoluelehtien,9.418181,0.007455,0.000792
pormaristo,9.247263,0.009374,0.001014
työväestölle,9.240164,0.015367,0.001663
kapitalistien,9.147597,0.026292,0.002874
kirjevaihtoon,9.053099,0.009787,0.001081
piharakennus,8.933601,0.016014,0.001793
kirjeenvaihtoon,8.919639,0.009073,0.001017
ruoholahdenk,8.854063,0.010657,0.001204
malmink,8.775802,0.008381,0.000955
kapitalistit,8.754012,0.020857,0.002383
työläisiä,8.731688,0.061165,0.007005
nssa,8.696392,0.007789,0.000896
työläisille,8.580238,0.028479,0.003319
saroon,8.542441,0.010066,0.001178
länsisuomen,8.450740,0.043533,0.005151
siltasaaren,8.427812,0.012488,0.001482
puuimukkeen,8.419711,0.028334,0.003365
liisank,8.358863,0.007655,0.000916
työläiset,8.338677,0.122431,0.014682
työläisten,8.264654,0.119318,0.014437
vaate,8.203526,0.010602,0.001292
lautatarha,8.198503,0.010468,0.001277
isokatu,8.185981,0.038489,0.004702
kirkkonummi,8.127559,0.008169,0.001005
kapitalistisen,8.089584,0.019451,0.002404
viertotie,8.078978,0.119474,0.014788
tuntinen,8.016834,0.025031,0.003122
maariank,7.883323,0.008604,0.001091
pomo,7.875929,0.019976,0.002536
sosialidemokratien,7.837217,0.016070,0.002050
tuntisen,7.836404,0.012811,0.001635
leontjeff,7.826519,0.009943,0.001270
kapitalismi,7.799262,0.009720,0.001246
kapitalistinen,7.793363,0.013871,0.001780
sosialidemokratiaa,7.788261,0.008236,0.001057
pormarillinen,7.785300,0.007332,0.000942
tupakasta,7.770318,0.075606,0.009730
pormarilliset,7.754491,0.013481,0.001738
pormarillisten,7.711169,0.011918,0.001546
kunnallisjärjestön,7.709643,0.021103,0.002737
hakasalmen,7.701247,0.009039,0.001174
huoml,7.695642,0.007588,0.000986
pormarit,7.644870,0.029885,0.003909
pormarien,7.596179,0.024417,0.003214
näinollen,7.596077,0.019585,0.002578
kapitalismin,7.591596,0.019451,0.002562
köyhälistö,7.571938,0.072024,0.009512
eduskuntaryhmän,7.544576,0.013637,0.001808
liity,7.538711,0.012398,0.001645
puutyöntekijäin,7.528390,0.013525,0.001797
maalarien,7.513647,0.024718,0.003290
ehtiäkseen,7.508472,0.008515,0.001134
karppi,7.492206,0.007332,0.000979
puheenj,7.486246,0.040052,0.005350
porwarilliset,7.464578,0.012298,0.001647
siirtomaatavaroita,7.403785,0.008481,0.001146
nahka,7.401370,0.032653,0.004412
pomot,7.387361,0.009207,0.001246
siltasaarenk,7.335037,0.022754,0.003102
päälettiin,7.333987,0.009887,0.001348
lakki,7.318059,0.020322,0.002777
paikallisjärjestön,7.315385,0.008961,0.001225
ammatillisen,7.301476,0.018670,0.002557
työläistä,7.299811,0.025477,0.003490
työwäestön,7.298017,0.026370,0.003613
tuntiseksi,7.280307,0.009698,0.001332
lähtevän,7.254334,0.015668,0.002160
järjestyneiden,7.200598,0.007689,0.001068
välitön,7.197661,0.010155,0.001411
tarkin,7.189876,0.009407,0.001308
työwäestö,7.189094,0.019127,0.002661
vihkimäilmoitukset,7.177839,0.009251,0.001289
haluaisimme,7.176809,0.010869,0.001515
muunmuassa,7.156497,0.007399,0.001034
yksityisnumerojen,7.154830,0.017096,0.002389
jonasberg,7.131814,0.013191,0.001850
järjestöjen,7.116039,0.047439,0.006667
porwarit,7.106579,0.027932,0.003930
muurarien,7.098849,0.030231,0.004259
luokkataistelun,7.093972,0.011985,0.001690
työmiehessä,7.086791,0.014474,0.002042
ammattijärjestön,7.081130,0.056847,0.008028
toroeri,7.068326,0.013358,0.001890
kupari,7.066956,0.013994,0.001980
siivoa,7.063199,0.015735,0.002228
vuorelassa,7.057700,0.008771,0.001243
vener,7.032549,0.026459,0.003762
järjestöt,6.976670,0.035454,0.005082
porwarien,6.948124,0.018558,0.002671
järjestöihin,6.942974,0.009452,0.001361
kuukausikokouksessa,6.918684,0.014429,0.002086
